ID,translated,source-language,sentence,context,full-ratings,mean-ratings
10037,1,es,"in its document entitled ""ethics of the economy '(1999) which addresses issues such as equality, justice and useful.","alfred was still forced to contend with a number of danish threats.	a year later in 881 alfred fought a small sea battle against four danish ships ""on the high seas"".	two of the ships were destroyed and the others surrendered to alfred's forces.","3,2,3,4,3,3,3,3,3,3,3,3,3,3",3.0
10213,0,en,stokes started his time at bramall lane as a first team regular but was soon dropped to the bench and returned to sunderland having made twelve appearances but failed to score a goal.,"the pods of ""a. nilotica"" (under the name of ""neb-neb""), and of other african species, are also rich in tannin and used by tanners.	in yemen, the principal tannin substance was derived from the leaves of the salam-tree (""acacia etbaica""), a tree known locally by the name ""qaraẓ"" (""garadh"").	a bath solution of the crushed leaves of this tree, into which raw leather had been inserted for prolonged soaking, would take only 15 days for curing.","4,4,4,4,3,4,3,3,3,4,3,3,3,3,4,3",3.4375
10286,1,cs,"as a result, it is used in cosmetics perfumery and for his maintain, and in flavorings say, apple and pear flavors.","hong kong maintains its own time authority after transfer of sovereignty in 1997.	the hong kong time () is all year round, without daylight saving observation.	greenwich mean time was adopted as the basis in 1904, and utc was adopted as a standard in 1972.","1,1,1,2,2,3,1,2,2,1,3,1,1,2",1.6428571428571428
10332,1,cs,"the fact that in the period garnett 24 games in atlanta, including the election results 17 directly games of 24 november 28, in december 2005.","art deco in athens incorporated insolently many of the structural and formal characteristics of the classical idiom, at times transforming them to mere decorative elements, or oppositely, imprinting to them a functionality.	thematically it moved beyond the classical period and looked for its models in the mycenaean, archaic, hellenistic and byzantine arts.	the classicizing trends however, as one would expect in the city of parthenon, held strongly, and despite what it has been sometimes suggested, art deco was never really independent in athens.","2,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,2",1.4705882352941178
1037,1,es,"in 1988, abdul ahad mohmand became the first afghan to reach space, the expenditure nine days on the mir space station.","the new taxes were enacted on the belief that americans only objected to internal taxes and not external taxes like custom duties.	the americans, however, argued against the constitutionality of the act because its purpose was to raise revenue and not regulate trade.	colonists responded by organizing new boycotts of british goods.","2,2,3,3,3,2,4,3,3,3,2,3,3,3,3,2,4",2.823529411764706
10373,1,es,during this time has been transformed into a school two-year four-year a college with a masters course programme.,"the situation was so serious that augustus himself appeared at the trial, even though he had not been called as a witness.	under oath, augustus declared that he gave no such order.	murena, disbelieving augustus's testimony and resentful of his attempt to subvert the trial by using his ""auctoritas"", rudely demanded to know why augustus had turned up to a trial to which he had not been called; augustus replied that he came in the public interest.","1,2,2,3,1,2,2,1,3,2,2,3,2,2",2.0
10424,1,es,the actor can interact with the clouds while flying horizontally.,"the result was a powerful crisis, 1776–1783.	the peace in 1783 left france financially prostrate, while the british economy boomed thanks to the return of american business.	the crisis ended after 1784 thanks to the king's shrewdness in outwitting charles james fox (the leader of the fox-north coalition), and renewed confidence in the system engendered by the leadership of the new prime minister, william pitt.","4,4,4,3,4,4,4,3,4,3,4,4,4,4,3,4",3.75
10448,0,en,she resigned from the idf in august 1983 to marry and finish her law studies.,"based on the peel performance, rough trade label head geoff travis suggested that the band release the song as a single instead of the slated release ""reel around the fountain"", which had gathered notoriety in the press due to what were seen as lyrical references to paedophilia.	the smiths entered matrix studios in london on september 1983 to record a second studio version of the song for release as a single.	however, the result—known as the 'london version'—was unsatisfactory and soon after, the band travelled to strawberry studios in stockport to try again.","4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
10508,0,en,"later additional burials and cremations were cut into the barrow, and it was enlarged twice.","almost all of the players played members of the nobility, known as the aristrakhracy, or strakheinvolk.	the ruling class actually ruled, for the most part: almost all the various nations were run by members of the aristrakhracy.	most nations had forms of government that were monarchical or aristocratic.","3,4,3,4,4,4,4,4,3,4,3,4,4,3,3,4,3",3.588235294117647
10655,1,cs,"the dissipating the remnants of patsy continue eastwards across gulf during on 11 august, crossing back to mainland china and died over land, in august 12.","asia has the second largest nominal gdp of all continents, after europe, but the largest when measured in purchasing power parity.	as of 2011, the largest economies in asia are china, japan, india, south korea and indonesia.	based on global office locations 2011, asia dominated the office locations with 4 of top 5 were in asia, hong kong, singapore, tokyo, seoul and shanghai.","2,1,1,2,2,3,3,2,3,2,3,1,1,1",1.9285714285714286
