ID,HIT_ID,RANDOM,CONTEXT,TRANSLATED,LANGUAGE,SENTENCE,REAL_TOPIC,FALSE_TOPIC1,FALSE_TOPIC2,FALSE_TOPIC3,GOLD_TOPIC_WORDS
3954,0,0,"governor gawler took over from hindmarsh in late 1838 and, despite being under orders from the ""select committee on south australia"" in britain not to undertake any public works, promptly oversaw construction of a governor's house, the adelaide gaol, police barracks, a hospital, a customs house and a wharf at port adelaide.	in addition, houses for public officials and missionaries and outstations for police and surveyors were also constructed during gawler's governorship.	adelaide had also become economically self-sufficient during this period, but at heavy cost: as a result of gawler's public works the colony was heavily in debt and relied on bail-outs from london to stay afloat.",1,de,gawler pointed out and governor grey in 1841.,"oil,production,agricultural,industrial,industry","acupuncture,medical,treatment,health,common","development,government,public,national,local","species,forest,park,common,national","oil,production,agricultural,industrial,industry,agriculture,largest,increased,economy,produced,park,centre,adelaide,amsterdam,aarhus,largest,located,local,aberdeen,home,building,built,house,buildings,site,church,original,hall,construction,century"
11895,0,0,"macey has taught at major universities throughout the world, including bocconi university (milan), the university of tokyo; the university of toronto; the university of turin, the university of amsterdam department of finance, and the stockholm school of economics, department of law.	he also has been professor of law at the university of chicago (1990) and visiting professor of law at harvard law school (1999).	macey is a senior research fellow at the international centre for economic research (icer) in turin, italy.",1,cs,macey serves the academic advisory committee (comitato scientifico) associazione disiano preite for the study of company law (on lo studio del diritto dell ’ impresa).,"school,university,students,college,schools","party,national,council,government,election","acupuncture,medical,treatment,health,common","film,album,released,song,show","school,university,students,college,schools,education,state,research,student,institute,development,government,public,national,local,million,economic,international,financial,land,de,spanish,european,countries,north,east,india,chinese,portuguese,west"
4854,0,0,"pahs occur in oil, coal, and tar deposits, and are produced as byproducts of fuel burning (whether fossil fuel or biomass).	as pollutants, they are of concern because some compounds have been identified as carcinogenic, mutagenic, and teratogenic.	pahs are also found in cooked foods.",1,fr,"studies have shown that the high levels of pahs, for example, are cooked meat at high temperatures as its or barbecuing, and in the smoked fish.","acid,carbon,metal,alkali,water","river,sea,north,water,southern","algebraic,set,mathematical,function,point","development,government,public,national,local","acid,carbon,metal,alkali,water,aluminium,hydrogen,ammonia,metals,compounds,oil,production,agricultural,industrial,industry,agriculture,largest,increased,economy,produced,species,animals,amphibians,similar,bones,animal,skull,body,teeth,fossil"
6220,0,0,"he built a home and the first general store in gallatin, tennessee in 1803.	the next year he acquired the hermitage, a plantation in davidson county, near nashville.	jackson later added to the plantation, which eventually grew to .",0,en,"the primary crop was cotton, grown by enslaved workers.","lincoln,johnson,states,war,congress","magnitude,star,alpha,earth,stars","park,centre,adelaide,amsterdam,aarhus","acupuncture,medical,treatment,health,common","lincoln,johnson,states,war,congress,jackson,union,president,confederate,arkansas,oil,production,agricultural,industrial,industry,agriculture,largest,increased,economy,produced,company,apple,game,sold,released,million,software,aol,announced,amiga"
6921,0,0,"estimates of the population of ancient athens vary.	during the 4th century bc, there might well have been some 250,000–300,000 people in attica.	citizen families could have amounted to 100,000 people and out of these some 30,000 would have been the adult male citizens entitled to vote in the assembly.",1,fr,"in the mid-5th century, the number of adults male citizens may be as high as 60, 000, but the number has decreased peloponnesian precipitously during the war.","empire,alexander,century,king,bc,","music,play,musical,band,plays","bell,power,pressure,sound,design","court,law,aclu,legal,act","empire,alexander,century,king,bc,,battle,assyrian,persian,war,bc,population,age,women,jews,ainu,children,abortion,total,rate,jewish,party,national,council,government,election,elected,president,members,member,general"
10907,0,0,the azure dragon is one of the four symbols of the chinese constellations.	it represents the east and the spring season.	it should not be confused with the mythological yellow dragon that is associated with the emperor of china.,1,de,"it is also in the media, feng shui, different cultures and different trading venues and green dragon and avalon dragon.","ancient,greek,temple,god,century","side,white,bow,iron,back","acid,carbon,metal,alkali,water","empire,alexander,century,king,bc,","ancient,greek,temple,god,century,apollo,roman,egyptian,according,modern,park,centre,adelaide,amsterdam,aarhus,largest,located,local,aberdeen,home,village,district,north,parish,town,river,road,west,east,county"
812,0,0,"some studies using modern organic-farming methods have reported yields as high as those available from conventional farming.	in the aftermath of the fall of the soviet union, with shortages of conventional petroleum-based inputs, cuba made use of mostly organic practices, including biopesticides, plant-based pesticides and sustainable cropping practices, to feed its populace.	however, organic farming may be more labor-intensive and would require a shift of the workforce from urban to rural areas.",1,es,the soil to restore its refitting of nutrients lost over the use of techniques of agriculture of monoculture also takes time.,"oil,production,agricultural,industrial,industry","example,,player,change,difficult,if","school,university,students,college,schools","acid,carbon,metal,alkali,water","oil,production,agricultural,industrial,industry,agriculture,largest,increased,economy,produced,development,government,public,national,local,million,economic,international,financial,land,acupuncture,medical,treatment,health,common,blood,research,alternative,patients,autism"
13716,0,0,"tom goes to the chemical plant to retrieve the formula, and gives it tor robert.	he in turn brings the formula to his meeting with linda and is escorted to gemmler's office.	suddenly tom appears at gemmler's office and starts arguing over the payment.",1,cs,this leads to gemmler retroactive payments.,"katie,she,tells,her.,back","won,team,agassi,championship,final","lincoln,johnson,states,war,congress","park,centre,adelaide,amsterdam,aarhus","katie,she,tells,her.,back,takes,andy,him.,begins,robert,group,numbers,members,order,public,aa,wore,test,committee,number,species,animals,amphibians,similar,bones,animal,skull,body,teeth,fossil"
14290,0,0,she was born and grew up in eastern oslo.	she was a member of lørenskog municipal council from 1994 to 1995 and of the executive committee in lørenskog from 1997 to 1998.	from 1995 to 1998 she was a member of akershus county council.,1,es,it was also a member of the council of 1993 to 1995 and other councils at local and regional level.,"party,national,council,government,election","species,animals,amphibians,similar,bones","i,back,died,death,told","magnitude,star,alpha,earth,stars","party,national,council,government,election,elected,president,members,member,general,born,family,she,married,father,son,died,age,mother,moved,village,district,north,parish,town,river,road,west,east,county"
8619,0,0,"challenges have been made against the act of settlement, especially its provisions regarding roman catholics and preference for males.	however, legislating for alterations to the act is a complex process, since the act is a common denominator in the shared succession of all the commonwealth realms.	the statute of westminster 1931 acknowledges by established convention that any changes to the rules of succession may be made only with the agreement of all of the states involved, with concurrent amendments to be made by each state's parliament or parliaments.",0,en,"further, as the current monarch's eldest child and, in turn, his eldest child, are anglican males, any change to the succession laws would have no immediate implications.","court,law,aclu,legal,act","french,german,war,crowley,de","energy,atomic,electron,atoms,electrons","katie,she,tells,her.,back","court,law,aclu,legal,act,rights,supreme,public,government,case,example,,player,change,difficult,if,make,generally,higher,main,result,king,de,son,andrew,ii,alexios,iii,royal,emperor,alfonso"
