ID,translated,source-language,sentence,context,full-ratings,mean-ratings
10037,1,es,"in its document entitled ""ethics of the economy '(1999) which addresses issues such as equality, justice and useful.",,"4,2,2,3,3,2,3,2,4,4,2",2.8181818181818183
10213,0,en,stokes started his time at bramall lane as a first team regular but was soon dropped to the bench and returned to sunderland having made twelve appearances but failed to score a goal.,,"4,4,4,3,4,4,4,4,4,3,4,4,4,4,3",3.8
10286,1,cs,"as a result, it is used in cosmetics perfumery and for his maintain, and in flavorings say, apple and pear flavors.",,"2,2,1,2,1,1,1,1,1,2,1,2,2,1,1",1.4
10332,1,cs,"the fact that in the period garnett 24 games in atlanta, including the election results 17 directly games of 24 november 28, in december 2005.",,"1,1,1,1,1,1,1,1,1,1,1,1,1,1",1.0
1037,1,es,"in 1988, abdul ahad mohmand became the first afghan to reach space, the expenditure nine days on the mir space station.",,"3,2,3,3,3,3,3,4,3,3,3,3,2,4,2,4,4",3.0588235294117645
10373,1,es,during this time has been transformed into a school two-year four-year a college with a masters course programme.,,"3,2,2,3,2,3,3,1,1,2,2,3,2,2,2",2.2
10424,1,es,the actor can interact with the clouds while flying horizontally.,,"3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4",3.823529411764706
10448,0,en,she resigned from the idf in august 1983 to marry and finish her law studies.,,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
10508,0,en,"later additional burials and cremations were cut into the barrow, and it was enlarged twice.",,"4,3,4,4,4,3,4,4,4,3,4,4,3,3,3,3.0",3.5625
10655,1,cs,"the dissipating the remnants of patsy continue eastwards across gulf during on 11 august, crossing back to mainland china and died over land, in august 12.",,"4,2,1,2,4,4,3,2,3,1,3,4",2.75
10689,1,es,the strong winds karen eur 250 million in damage caused dollars dollars) (1962 and 11 deaths.,,"1,1,3,1,1,1,1,1,2,1,2,1,3,1,1,2",1.4375
10697,0,en,"in march 2009 prosecutors in a philadelphia drug dealing case named buckhalter as a celebrity client of the alleged dealer, styles n. beckles.",,"4,3,3,2,4,3,3,4,4,4,4,4,2,2,4,4,3",3.3529411764705883
1074,1,de,"in addition to the alkali metal amide salt and solvated electrons, ammonia solutions include the alkali metal cation (m +), the neutral alkali metal nuclear (m), diatomic alkali metal compounds (m2) and alkali metal anions (m -).",,"4,3,4,4,3,4,3,3,3,4,4,4,4,3,4,3,3",3.5294117647058822
1075,1,cs,"to use as a basis, butyllithiums are often used and are commercially available.",,"4,4,4,4,3,4,4,3,3,4,4,2,4,4,4,2,4",3.588235294117647
10836,1,es,the southern agreement to be brought before the people on an impressive stone viaduct which is highest (one of several such structures in the map).,,"4,2,3,3,3,2,4,2,2,3,2,4,3,3",2.857142857142857
10844,1,de,"in a week 12 game against the new england patriots, reed mentioned the describe as the security position if sean considine and quintin mikell not because of violations.",,"1,1,2,1,2,2,1,3,1,2,1,1,1,2,2,2,1,2",1.5555555555555556
10860,1,cs,"in september 15, carmen achieved landfall in southern china and dispelled the following day.",,"4,3,3,4,4,3,2,4,3,4,3,4,4,4,4",3.533333333333333
10894,1,fr,"on the basis of 'memories of 2', the main series of gambling offers the possibility of multiple endings for each of the heroines.",,"3,4,2,3,3,2,4,4,3,3,2,4,3,3,2,4,4",3.1176470588235294
1090,1,fr,"no attempt of synthesis were made for any of metals chlor-alkali as unhexpentium, due to the large number of nuclear.",,"4,2,4,2,3,2,3,4,2,1,1,3,1,1,4,4,1,4,2,2",2.5
10907,1,de,"it is also in the media, feng shui, different cultures and different trading venues and green dragon and avalon dragon.",,"2,1,1,2,2,3,1,2,3,1,1,1,2,3,3",1.8666666666666667
110,1,de,"in 2010, per capita income for the state of dollars 22,984.",,"2,1,2,1,3,2,2,3,3,2,1,2,1,1,2,1",1.8125
11029,0,en,"it took the combined weight of mercury, may and taylor to persuade him.",,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
1105,1,fr,"a third type, called abugida or alphasyllabary, where vowels have shown by diacritics or changes to basis consonantal letters, as devanagari and other south asian paperwork.",,"4,2,2,2,3,2,1,3,1,3,2,4",2.4166666666666665
11168,1,es,the three plead before.,,"4,3,3,1,2,3,3,1,1,2,1,3,2,2,1,3,3,1,1",2.1052631578947367
11183,0,en,"the government is responsible only to parliament, specifically the people ’ s assembly.",,"4,4,4,4,3,3,4,3,4,4,3,4,4,4,3,3",3.625
11413,1,de,"well-known american and italian artists in the 20th century, also in the collection.",,"3,3,3,3,3,2,2,3,3,3",2.8
11570,1,es,appear (the time bad that monarch was transformed into) aimed at the whole team titans attacking the heroes who were trying to undo this time of crisis.,,"2,2,2,1,1,2,2,1,2,1,1,1,2,1,2,3",1.625
11579,1,es,some of the houses are on holiday allows.,,"1,2,2,1,2,1,3,1,2,1,1,1,2,2,3,3,2",1.7647058823529411
11591,1,es,in the south of the a1067 is bawdeswell garage.,,"1,4,3,1,1,3,3,3,4,4,4,1,3,3,2,3,1,1",2.5
1173,1,fr,"at the end of 1978, it has also written writing 'sardor' with the writer aleksandr misharin.",,"2,2,2,2,2,3,1,3,3,1",2.1
11808,1,fr,"60-60 related to the end of the regulation and 73-73 at the end of the first overtime, it was cairns which has prevailed 85-81 to send the last number one third and decide game.",,"4,3,2,3,3,3,2,3,1,3,1,1,2,4,3,4,4,4",2.7777777777777777
11894,0,en,"nevertheless the cooler component (gamma2) is more massive than gamma1 and according to the hierarchy of masses and brightness, gamma2 should be the primary star of the system.",,"4,3,4,4,4,4,4,4,4,4",3.9
11895,1,cs,macey serves the academic advisory committee (comitato scientifico) associazione disiano preite for the study of company law (on lo studio del diritto dell ’ impresa).,,"4,2,3,1,3,3,2,1,1,1,3,3,3,1,4,2",2.3125
12056,1,de,"later handley, in the first concert in london, the symphony orchestra of morley college.",,"1,2,1,2,2,2,1,1,1,2,1,2,2,3,3,3,1,1",1.7222222222222223
12112,1,cs,"the conducted extensive holidays in mexico, the netherlands, germany and spain for nearly three years.",,"3,3,2,3,2,2,1,2,3,3,2,1,1,2,3,2,2,2",2.1666666666666665
1214,1,fr,"recent studies have shown that the aardwolf probably for the whole of the family hyena right from the start, but how early is still unclear that fossil fuels and studies agreement of 10 million years.",,"1,1,2,2,2,1,2,2,1,1,1,1,1,1,2",1.4
12165,0,en,"here, they recorded the more widely heard a-side.",,"1,1,2,3,3,4,4,4,4,4,4,4",3.1666666666666665
12302,1,fr,"finally, petraeus pleaded guilty to a misdemeanor accusations of mismanagement classified information.",,"4,2,4,3,3,3,3,4,4,4,3,2,2,4,4,4,3",3.2941176470588234
12359,1,cs,"previously, local time was intended astronomical comments in hong kong observatory through 6-inch lee equatorial and 3-inch transit circle.",,"1,2,3,2,1,3,2,1,1,1,2,1,1,2,3,1",1.6875
