ID,translated,source-language,sentence,context,full-ratings,mean-ratings
10037,1,es,"in its document entitled ""ethics of the economy '(1999) which addresses issues such as equality, justice and useful.","his book ""weighing goods"" (1991) explores the way in which goods ""located"" in each of the three ""dimensions"" — time, people, states of nature—make up overall goodness.	broome argues that these dimensions are linked by what he calls the ""interpersonal addition theorem"", which supports the utilitarian principle of distribution.	in his book ""weighing lives"" (2004), broome rejects the presumed intuition that adding people to the population is ethically neutral.","2,3,3,2,2,3,2,3,2,3,3,4,2,2,3,3,4,2",2.6666666666666665
10213,0,en,stokes started his time at bramall lane as a first team regular but was soon dropped to the bench and returned to sunderland having made twelve appearances but failed to score a goal.,"on 17 october 2008, stokes agreed a three-month loan deal to sheffield united, with the possibility of extending it for the season.	stokes again took the shirt that was previously vacated by jon stead, this time number 8.	stokes made his debut for the blades in the local derby against sheffield wednesday a few days later, coming on as a second-half substitute.","4,4,3,4,3,3,4,4,4,4,4,4,4,3,3,3,4,4,4",3.6842105263157894
10286,1,cs,"as a result, it is used in cosmetics perfumery and for his maintain, and in flavorings say, apple and pear flavors.","benzyl acetate is found naturally in many flowers.	it is the primary constituent of the essential oils from the flowers jasmine, ylang-ylang and tobira.	it has pleasant sweet aroma reminiscent of jasmine.","2,2,3,2,2,3,2,3,1,2,3,1,3,2,3,2,3",2.2941176470588234
10332,1,cs,"the fact that in the period garnett 24 games in atlanta, including the election results 17 directly games of 24 november 28, in december 2005.","garnett was called up to the thrashers early in the 2005–06 season due to a groin injury sustained by thrashers starting goaltender kari lehtonen.	garnett made his nhl debut on october 12, 2005, when he replaced mike dunham, who suffered a groin injury less than ten minutes into a game against the montreal canadiens.	the thrashers lost the game 2-0, though garnett stopped 29 of the 30 shots he faced and was named the game's second star.","1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2",1.3529411764705883
1037,1,es,"in 1988, abdul ahad mohmand became the first afghan to reach space, the expenditure nine days on the mir space station.","in april 1985, taylor wang became the first ethnic chinese person in space.	the first person born in africa to fly in space was patrick baudry (france), in 1985.	in 1985, saudi arabian prince sultan bin salman bin abdulaziz al-saud became the first arab muslim astronaut in space.","3,3,3,4,3,3,2,3,2,3,3,3,4,4,4,3,4,2,3,2",3.05
10373,1,es,during this time has been transformed into a school two-year four-year a college with a masters course programme.,"in 1974, the name was changed to the college of boca raton.	the college was granted accreditation at level ii in 1986.	in 1988, it was accredited at level iii.","1,1,2,3,3,2,2,2,3,2,3,1,3,1,3,3,3,3,1,1",2.15
10424,1,es,the actor can interact with the clouds while flying horizontally.,"""cloud"", a single-player video game for microsoft windows, centers on a boy who dreams of flying through the sky while asleep in a hospital bed.	the player assumes control of the sleeping boy's avatar—the projection of the boy into his dream world—and guides him through his dream of a small group of islands with a light gathering of clouds.	the avatar's direction and speed are controlled with a mouse; movement is generally on a horizontal plane, but vertical flight can be attained by holding down the third button of the mouse.","3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",3.9444444444444446
10448,0,en,she resigned from the idf in august 1983 to marry and finish her law studies.,"livni served in the idf, gaining rank of lieutenant.	livni later served in the mossad during 1980 and 1984, between the ages of 22 and 26.	according to an interview in yediot aharonot, described in ""the sunday times"", she served in the elite unit responsible for operation wrath of god.","4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,3.0",3.764705882352941
10508,0,en,"later additional burials and cremations were cut into the barrow, and it was enlarged twice.","the barnack burial is an important early bronze age find.	it comes from a complicated monument which was expanded and altered on at least three different occasions.	the original burial was very rich for the period, but was covered by only a small barrow.","4,3,4,4,3,4,3,4,4,3,3,3,3,4,3,4",3.5
10655,1,cs,"the dissipating the remnants of patsy continue eastwards across gulf during on 11 august, crossing back to mainland china and died over land, in august 12.","patsy retained typhoon status throughout the day, making landfall on hainan near the city of wenchang as a tropical storm with winds of 70 mph (110 km/h).	weakening as it crossed over china, the storm crossed along the southwestern shores of a nearby peninsula.	crossing through a gulf of the south china sea, patsy weakened to a 50 mph (85 km/h) tropical storm before the joint typhoon warning center ceased following the system on the morning of august 11, as it made landfall near the city of dianbai liaogang, china.","3,3,2,3,2,3,2,3,2,3,3,3,3,4,2,2,4,3",2.7777777777777777
